time,stat,ns,ratio,gdop,n_slip,n_reject,n_downweight,n_low_snr,n_low_el,n_res_outlier
2005/04/02 00:44:30.000,1,6,194.968,3.124,0,0,0,0,0,0
2005/04/02 00:45:00.000,1,6,200.607,3.123,0,0,0,0,0,0
2005/04/02 00:45:30.000,1,6,199.548,3.123,0,0,0,0,0,0
2005/04/02 00:46:00.000,1,6,197.423,3.122,0,0,0,0,0,0
2005/04/02 00:46:30.000,1,6,195.468,3.121,0,0,0,0,0,0
2005/04/02 00:47:00.000,1,6,193.045,3.119,0,0,0,0,0,0
2005/04/02 00:47:30.000,1,6,196.706,3.118,0,0,0,0,0,0
2005/04/02 00:48:00.000,1,6,200.429,3.117,0,0,0,0,0,0
2005/04/02 00:48:30.000,1,6,202.064,3.115,0,0,0,0,0,0
2005/04/02 00:49:00.000,1,6,204.100,3.113,0,0,0,0,0,0
2005/04/02 00:49:30.000,1,6,204.777,3.111,0,0,0,0,0,0
2005/04/02 00:50:00.000,1,6,207.048,3.109,0,0,0,0,0,0
2005/04/02 00:50:30.000,1,6,208.713,3.107,0,0,0,0,0,0
2005/04/02 00:51:00.000,1,6,213.454,3.105,0,0,0,0,0,0
2005/04/02 00:51:30.000,1,6,217.807,3.102,0,0,0,0,0,0
2005/04/02 00:52:00.000,1,6,215.955,3.100,0,0,0,0,0,0
2005/04/02 00:52:30.000,1,6,213.749,3.097,0,0,0,0,0,0
2005/04/02 00:53:00.000,1,6,213.264,3.095,0,0,0,0,0,0
2005/04/02 00:53:30.000,1,6,216.929,3.092,0,0,0,0,0,0
2005/04/02 00:54:00.000,1,6,220.464,3.089,0,0,0,0,0,0
2005/04/02 00:54:30.000,1,6,216.650,3.086,0,0,0,0,0,0
2005/04/02 00:55:00.000,1,6,220.901,3.083,0,0,0,0,0,0
2005/04/02 00:55:30.000,1,6,228.065,3.080,0,0,0,0,0,0
2005/04/02 00:56:00.000,1,6,232.954,3.077,0,0,0,0,0,0
2005/04/02 00:56:30.000,1,6,236.252,3.074,0,0,0,0,0,0
2005/04/02 00:57:00.000,1,5,350.955,29.043,0,0,0,0,0,0
2005/04/02 00:57:30.000,0,5,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:58:00.000,0,5,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:58:30.000,0,5,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:59:00.000,0,5,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:59:30.000,0,5,0.000,0.000,0,0,0,0,0,0
